lemma	pos_ud	pos_freqs_ud	pos_euk	pos_freqs_euk	lemmafreq_ud	lemmafreq_euk	total_freq
två	NUM;ADJ	84;1	NUM	122	85	122	207
stor	ADJ	134	ADV;ADJ	2;244	134	246	380
knapp	NOUN	5	ADJ;ADV	13;2	5	15	20
dold	ADJ;VERB	6;3	ADJ	2	9	2	11
anpassa	VERB;ADJ	9;1	VERB	7	10	7	17
höjd	NOUN	6	NOUN;ADJ	9;1	6	10	16
upphöjd	VERB;ADJ	1;2	ADJ	1	3	1	4
skugga	VERB;NOUN	5;14	NOUN	5	19	5	24
gemensam	ADJ	19	ADJ;ADV	25;1	19	26	45
efter	ADP;ADV	111;12	ADP;ADV;SCONJ	171;7;2	123	180	303
januari	PROPN	2	NOUN	12	2	12	14
februari	PROPN	2	NOUN	13	2	13	15
gata	NOUN;VERB	36;1	NOUN	6	37	6	43
New	PROPN	21	X	3	21	3	24
liten	ADJ;ADV	115;4	ADJ	173	119	173	292
blomma	NOUN	4	NOUN;VERB	6;2	4	8	12
ont	ADV;NOUN;ADJ	3;1;1	NOUN	1	5	1	6
sen	ADJ	6	ADJ;ADV;ADP;SCONJ	86;86;12;6	6	190	196
sist	ADJ;ADV	13;8	ADJ	9	21	9	30
bortglömd	VERB;ADJ	1;1	ADJ	1	2	1	3
möta	VERB;ADJ	16;1	VERB	14	17	14	31
röd	ADJ;VERB	37;1	ADJ	14	38	14	52
sitta	VERB;ADJ	92;3	VERB	59	95	59	154
ena	ADJ;PRON	30;1	ADJ;VERB	8;3	31	11	42
stå	VERB;ADV	103;1	VERB	77	104	77	181
tack	INTJ;NOUN;ADP	5;9;4	INTJ;NOUN	8;8	18	16	34
lära	VERB	28	VERB;NOUN	19;3	28	22	50
tala	VERB;ADJ	98;2	VERB	45	100	45	145
nicka	VERB;ADJ	6;1	VERB	4	7	4	11
kvar	ADV;NOUN	27;1	ADV	32	28	32	60
gå	VERB;NOUN	260;1	VERB	202	261	202	463
åt	ADP;ADV;VERB	101;6;2	ADP;ADV	35;1	109	36	145
märklig	ADJ;ADV	5;1	ADJ	5	6	5	11
höger	NOUN;ADJ	7;5	ADJ	5	12	5	17
Work	PROPN	2	X	1	2	1	3
plötslig	ADJ	8	ADJ;ADV	4;12	8	16	24
oväntad	ADJ	4	ADV;ADJ	2;1	4	3	7
mild	ADJ	6	ADJ;ADV	2;1	6	3	9
be	VERB	17	VERB;X	33;1	17	34	51
besviken	ADJ	1	VB	1	1	1	2
nonchalant	ADV	2	ADJ	1	2	1	3
igenom	ADV;ADP	7;6	ADP	8	13	8	21
inne	ADV	15	ADV;ADJ	19;1	15	20	35
fara	VERB;NOUN;ADP	24;7;1	VERB;NOUN	4;1	32	5	37
le	VERB;DET	19;5	VERB;X	2;2	24	4	28
jag	PRON;NOUN	1561;1	PRON	1600	1562	1600	3162
högljudd	ADJ	5	ADV	2	5	2	7
särskild	ADJ	9	ADJ;ADV	38;17	9	55	64
ju	ADV	68	ADV;CCONJ	82;16	68	98	166
utom	ADP;CCONJ	13;1	ADP	8	14	8	22
god	ADJ	30	ADJ;ADV	73;3	30	76	106
noga	ADV	7	ADJ;ADV	3;6	7	9	16
densamma	ADJ	9	PRON	2	9	2	11
teoretisk	ADV	1	ADJ	2	1	2	3
vidare	ADV;ADJ	16;1	ADV;SCONJ;ADJ	20;1;2	17	23	40
nervös	ADV;ADJ	3;3	ADJ	5	6	5	11
svart	ADJ	50	ADJ;ADV	31;1	50	32	82
gul	ADJ;NOUN	9;1	ADJ	4	10	4	14
lång	ADJ	61	ADJ;ADV	86;9	61	95	156
snabb	ADJ	7	ADV;ADJ	17;8	7	25	32
riktig	ADJ	12	ADJ;ADV	13;21	12	34	46
säker	ADJ	21	ADJ;ADV	12;8	21	20	41
tyst	ADJ;ADV	10;6	ADJ	9	16	9	25
hit	ADV	21	ADV;NOUN	9;1	21	10	31
plan	NOUN	15	NOUN;ADJ	19;1	15	20	35
sönder	ADV	5	ADV;ADJ	1;2	5	3	8
nog	ADV	19	ADV;X	38;1	19	39	58
strid	ADJ;NOUN	1;5	NOUN	3	6	3	9
oroa	ADJ;VERB	1;3	VERB	3	4	3	7
galen	ADJ	6	ADV	1	6	1	7
normal	ADJ	7	ADV;ADJ	2;4	7	6	13
väl	ADV	48	ADV;ADJ	46;4	48	50	98
klar	ADJ;ADV;VERB	28;1;1	ADJ;ADV	31;1	30	32	62
överens	ADV	5	ADJ	8	5	8	13
kors	NOUN;INTJ	2;1	NOUN	3	3	3	6
verklig	ADJ	16	ADV;ADJ	1;8	16	9	25
tagen	ADJ	11	ADJ;VB;ADV	3;1;3	11	7	18
lös	ADJ;ADV	5;1	ADJ	5	6	5	11
ringa	VERB	20	VERB;ADJ	13;2	20	15	35
sankt	NOUN	1	ADJ	1	1	1	2
ursäkta	VERB;INTJ	6;1	VERB	1	7	1	8
ett	NUM;PRON	30;1	NUM	34	31	34	65
klassisk	ADJ	1	ADJ;ADV	4;1	1	5	6
inre	ADJ;NOUN	23;3	ADJ	13	26	13	39
halv	ADJ;ADV	4;1	ADJ	12	5	12	17
felaktig	ADJ	2	ADV	1	2	1	3
faktisk	ADJ	1	ADV;ADJ	24;14	1	38	39
elegant	ADJ;ADV	3;1	ADV	1	4	1	5
civiliserad	ADJ	7	ADJ;ADV	6;1	7	7	14
båda	DET;PRON	19;11	PRON;VERB	22;2	30	24	54
överge	VERB;ADJ	4;3	VERB	4	7	4	11
juli	PROPN	4	NOUN	13	4	13	17
illa	ADV	14	ADJ;ADV	7;5	14	12	26
väldig	ADJ	17	ADV;ADJ	28;14	17	42	59
bortom	ADV;ADP	1;1	ADP	4	2	4	6
nedanför	ADP;ADV	4;5	ADV	1	9	1	10
&	CCONJ	5	SYM	9	5	9	14
fasa	NOUN	1	VERB	1	1	1	2
tills	SCONJ	15	SCONJ;ADP	11;1	15	12	27
fort	ADV	12	ADV;NOUN	6;1	12	7	19
trycka	VERB;ADJ	12;1	VERB	4	13	4	17
brutal	ADJ	2	ADJ;ADV	2;1	2	3	5
synd	ADV;NOUN	1;2	ADJ;NOUN	2;8	3	10	13
varm	ADJ	11	ADJ;ADV	13;1	11	14	25
sökande	NOUN	3	NOUN;ADJ	1;1	3	2	5
te	PRON;NOUN;VERB	1;7;2	VERB;NOUN;X	1;3;2	10	6	16
ren	ADJ	26	ADJ;ADV	6;6	26	12	38
livlig	ADJ	9	ADV	1	9	1	10
fast	SCONJ;ADV;ADJ;CCONJ	6;12;5;10	CCONJ;ADJ;ADP;SCONJ	8;11;1;5	33	25	58
övre	ADJ;ADV	2;2	ADJ	3	4	3	7
klä	VERB;ADJ	9;1	VERB	2	10	2	12
litet	ADV;PRON	12;2	ADJ;PRON;ADV	31;10;45	14	86	100
förvånad	ADJ	2	VB;ADJ	2;4	2	6	8
vetenskaplig	ADJ	2	ADV;ADJ	1;2	2	3	5
stilla	ADJ;ADV	6;5	ADJ	6	11	6	17
förlåta	VERB;INTJ	4;1	VERB	1	5	1	6
typisk	ADJ	3	ADJ;ADV	6;1	3	7	10
a	NOUN	1	X;NOUN	5;4	1	9	10
ljus	NOUN;ADJ	26;7	NOUN;ADV;ADJ	7;1;2	33	10	43
'	PUNCT	20	X;SYM;PUNCT	2;1;1	20	4	24
tydlig	ADJ	1	ADJ;ADV	26;11	1	37	38
ovan	ADJ;ADP	2;2	ADV;ADP	1;1	4	2	6
främmande	ADJ	11	NOUN;ADJ	1;1	11	2	13
fri	ADJ;NOUN	17;1	ADJ;ADV	8;1	18	9	27
förbunden	ADJ;VERB	1;1	ADJ	1	2	1	3
oändlig	ADJ	3	ADV	1	3	1	4
fyra	NUM	14	NUM;NOUN	42;1	14	43	57
samtlig	ADJ	2	PRON	7	2	7	9
mönstergill	ADJ	1	ADV	1	1	1	2
röra	NOUN;VERB	3;29	VERB	20	32	20	52
allmän	ADJ	10	ADV;ADJ	4;16	10	20	30
böja	VERB;ADJ	11;1	VERB	1	12	1	13
sjuk	ADJ	9	ADV;ADJ	4;13	9	17	26
nödvändig	ADJ	13	ADJ;ADV	14;1	13	15	28
Mr	NOUN	46	X	1	46	1	47
stark	ADJ	12	ADJ;ADV	20;1	12	21	33
kopplad	VERB	1	ADV;ADJ	3;1	1	4	5
-	PUNCT;ADP	2;1	PUNCT	169	3	169	172
skapande	NOUN;ADJ	2;1	NOUN	6	3	6	9
tillfredsställande	ADJ	1	ADV;ADJ	1;2	1	3	4
inför	ADP	22	ADP;ADV	25;3	22	28	50
utöva	ADJ;VERB	1;6	VERB	3	7	3	10
rätta	VERB;ADJ;ADV;NOUN	4;1;1;1	VERB;NOUN	3;5	7	8	15
stämma	VERB;NOUN	9;1	VERB	5	10	5	15
samstämmig	ADJ	1	ADV	1	1	1	2
pass	ADV;NOUN	1;2	NOUN	22	3	22	25
komplicerad	ADJ	8	ADJ;VB	5;1	8	6	14
korrekt	ADJ;ADV	4;6	ADJ	5	10	5	15
tysk	ADJ;NOUN	4;2	ADJ	2	6	2	8
dansk	ADJ	2	NOUN;ADJ	1;10	2	11	13
teknisk	ADJ	5	ADJ;ADV	7;1	5	8	13
internationell	ADJ	9	ADV;ADJ	3;13	9	16	25
generell	ADJ	1	ADV;ADJ	2;1	1	3	4
ordentlig	ADJ	2	ADJ;ADV	3;1	2	4	6
annanstans	ADV;NOUN	1;1	ADV	1	2	1	3
Europa	PROPN	15	PROPN;NOUN	33;1	15	34	49
framåt	ADV	3	ADP;ADV	1;7	3	8	11
vare	X;CCONJ	1;10	CCONJ	5	11	5	16
effektiv	ADJ	4	ADJ;ADV	18;2	4	20	24
glad	ADJ;ADV	10;1	ADJ	15	11	15	26
väsa	ADJ	1	VERB	1	1	1	2
bestämd	ADJ	3	ADJ;ADV	7;1	3	8	11
kraftig	ADJ	14	ADJ;ADV	9;7	14	16	30
full	ADJ	13	ADJ;ADV	15;1	13	16	29
hård	ADJ	8	ADJ;ADV	17;5	8	22	30
längs	ADP	18	ADP;ADV	13;2	18	15	33
ängslig	ADJ	1	ADV	1	1	1	2
utmana	ADJ	1	VERB	3	1	3	4
förbannad	ADJ	1	VB;ADV	1;1	1	2	3
eventuell	ADJ	4	ADV;ADJ	2;5	4	7	11
hånfull	ADJ;ADV	2;1	ADJ	1	3	1	4
förtjust	ADV;ADJ	1;6	ADJ	1	7	1	8
bekant	ADJ;NOUN	5;1	NOUN	1	6	1	7
bo	VERB;NOUN	19;2	VERB	27	21	27	48
söder	NOUN	7	ADV	2	7	2	9
skydda	ADJ;VERB	1;6	VERB	6	7	6	13
nätt	ADV	2	ADJ	1	2	1	3
blek	ADJ;NOUN	9;1	ADJ	1	10	1	11
lokal	ADJ;NOUN	4;2	ADJ	21	6	21	27
dansa	ADJ;VERB	1;9	VERB	3	10	3	13
stolt	ADV;ADJ	2;2	ADJ	1	4	1	5
ivrig	ADJ	3	ADJ;ADV	4;1	3	5	8
svalka	VERB	1	NOUN	1	1	1	2
skifta	ADJ;VERB	1;1	VERB	1	2	1	3
skarp	ADJ	3	ADV;ADJ	2;3	3	5	8
spricka	VERB	3	NOUN;VERB	1;2	3	3	6
fjärran	ADV;ADJ	1;2	ADJ;NOUN	2;4	3	6	9
officiell	ADJ	8	ADV;ADJ	3;4	8	7	15
sjunka	ADJ;VERB	1;13	VERB	7	14	7	21
Potter	PROPN	10	PROPN;X	41;1	10	42	52
tragisk	ADJ	1	ADV;ADJ	1;1	1	2	3
förvirrad	ADJ	3	ADV	1	3	1	4
upprörd	ADJ	1	ADJ;VB	1;1	1	2	3
ro	VERB;NOUN	2;3	NOUN	2	5	2	7
nio	NUM	4	NUM;ADJ	10;2	4	12	16
allvarlig	ADJ	6	ADJ;ADV	16;2	6	18	24
uppför	ADP;ADV	13;2	ADP	3	15	3	18
konstig	ADJ	8	ADJ;ADV	10;1	8	11	19
utmattad	ADJ	2	VB	1	2	1	3
orolig	ADJ	5	ADV;ADJ	1;1	5	2	7
lik	ADJ;NOUN	10;1	ADV;ADJ	24;16	11	40	51
skada	VERB	9	NOUN;VERB	10;11	9	21	30
flyga	VERB;ADJ	16;1	VERB	8	17	8	25
ojämn	ADJ	1	ADV	1	1	1	2
brinna	ADJ;VERB	1;2	VERB	2	3	2	5
intensiv	ADJ	7	ADJ;ADV	5;2	7	7	14
lysa	ADJ;VERB	1;8	VERB	5	9	5	14
systematisk	ADJ	1	ADJ;ADV	1;1	1	2	3
vind	NOUN;ADJ	8;1	NOUN	30	9	30	39
himla	VERB	1	ADV	2	1	2	3
rock	NOUN	3	NOUN;X	5;1	3	6	9
befordra	VERB;NOUN	2;2	VERB	1	4	1	5
väsentlig	ADJ	2	ADJ;ADV	4;1	2	5	7
öde	NOUN;ADJ	6;4	NOUN	1	10	1	11
platta	NOUN;VERB	3;1	NOUN	2	4	2	6
suck	NOUN	1	INTJ;NOUN	2;2	1	4	5
framgångsrik	ADJ	1	ADJ;ADV	6;1	1	7	8
dagtid	ADV	1	NOUN	1	1	1	2
nattetid	ADV	2	NOUN	3	2	3	5
beroende	ADJ	6	ADJ;ADV	4;1	6	5	11
lista	NOUN	7	VERB;NOUN	1;2	7	3	10
A	PROPN	2	X;PROPN	3;5	2	8	10
parallell	ADJ;ADV	8;1	NOUN;ADJ	3;2	9	5	14
konstant	ADJ	4	ADV;ADJ	2;2	4	4	8
innanför	ADP;ADV	5;1	ADP	2	6	2	8
runda	NOUN	3	VERB;NOUN	4;2	3	6	9
styrka	NOUN	7	NOUN;VERB	4;1	7	5	12
rak	ADJ	5	ADJ;ADV	12;1	5	13	18
positiv	ADJ	4	ADJ;ADV	14;1	4	15	19
moralisk	ADV;ADJ	1;1	ADJ	1	2	1	3
varsin	ADJ	1	PRON	3	1	3	4
Don	PROPN	17	X	1	17	1	18
ingående	ADV;ADJ	1;2	ADJ	1	3	1	4
underlig	ADJ	2	ADJ;ADV	5;1	2	6	8
locka	VERB;ADJ	5;1	VERB	5	6	5	11
ovanlig	ADJ	2	ADJ;ADV	5;2	2	7	9
fruktansvärd	ADJ	2	ADV;ADJ	2;2	2	4	6
kompani	NOUN	2	X	1	2	1	3
to	PART;ADP	1;1	X	1	2	1	3
come	VERB	1	X	1	1	1	2
olja	NOUN	2	VERB;NOUN	1;1	2	2	4
ständig	ADJ	3	ADV;ADJ	7;4	3	11	14
automatisk	ADJ	1	ADV	1	1	1	2
ekonomisk	ADJ	9	ADJ;ADV	43;1	9	44	53
berusad	ADJ	5	VB	1	5	1	6
van	ADJ	6	ADJ;ADV	4;1	6	5	11
reda	ADV;NOUN	4;3	NOUN	9	7	9	16
oerhörd	ADJ	1	ADV;ADJ	6;1	1	7	8
belåten	ADJ	2	ADJ;ADV	1;1	2	2	4
babbla	NOUN	1	VERB	1	1	1	2
försiktig	ADJ	3	ADJ;ADV	4;1	3	5	8
rörande	ADV;ADP	1;1	ADP	7	2	7	9
barnslig	ADJ	2	ADJ;ADV	1;1	2	2	4
bar	ADJ;NOUN	2;7	ADJ	2	9	2	11
trumma	NOUN;VERB	1;1	VERB	1	2	1	3
varaktig	ADJ	1	ADV	1	1	1	2
bortkastad	VERB	1	ADJ	2	1	2	3
rättslig	ADJ	2	ADV;ADJ	1;3	2	4	6
tillräcklig	ADJ	3	ADV;ADJ	7;10	3	17	20
långsiktig	ADJ	1	ADJ;ADV	9;3	1	12	13
definitiv	ADV	1	ADJ	3	1	3	4
negativ	ADJ	1	ADJ;ADV	9;1	1	10	11
psykologisk	ADJ	1	ADJ;ADV	2;1	1	3	4
anställd	NOUN	1	ADJ	9	1	9	10
oproportionerlig	ADJ	1	ADV	2	1	2	3
sörja	VERB	3	NOUN;VERB	1;2	3	3	6
genomföra	ADJ;VERB	1;4	VERB	23	5	23	28
finansiell	ADJ	2	ADV;ADJ	1;6	2	7	9
regional	ADJ	1	ADV;ADJ	1;27	1	28	29
sänka	VERB;NOUN	4;1	VERB	10	5	10	15
välkommen	ADJ	4	ADJ;INTJ	7;1	4	8	12
iförd	VERB;ADJ	3;5	ADJ	2	8	2	10
förenad	ADJ;PROPN	2;3	ADJ	4	5	4	9
hacka	NOUN;VERB	1;1	VERB	1	2	1	3
fördra	ADJ;VERB	1;2	VERB	1	3	1	4
våga	VERB;NOUN	7;1	VERB	6	8	6	14
is	NOUN	3	X;NOUN	3;3	3	6	9
norr	NOUN	4	ADV	3	4	3	7
anonym	ADJ	2	ADJ;ADV	2;1	2	3	5
skara	NOUN	4	NOUN;PROPN	1;1	4	2	6
enorm	ADJ	5	ADJ;ADV	14;4	5	18	23
avlägsen	ADJ;ADV	1;1	ADJ	1	2	1	3
september	PROPN	3	NOUN	19	3	19	22
Cross	PROPN	1	X	2	1	2	3
storslagen	ADJ	1	ADV;ADJ	1;2	1	3	4
tät	ADJ	2	ADV	3	2	3	5
mjuk	ADV;ADJ	1;2	ADJ	7	3	7	10
motsatt	ADJ	2	ADJ;VB	1;1	2	2	4
respektive	CCONJ	2	CCONJ;ADJ	6;4	2	10	12
sammanlagd	ADJ	1	ADJ;ADV	2;3	1	5	6
praktisk	ADJ	5	ADJ;ADV	8;1	5	9	14
spara	VERB;ADJ	20;1	VERB	2	21	2	23
formell	ADJ	3	ADV	2	3	2	5
uppåt	ADV;ADP	2;4	ADV	2	6	2	8
fullständig	ADJ	1	ADV	2	1	2	3
online	NOUN	1	ADV	1	1	1	2
from	SYM	1	ADJ	1	1	1	2
like	SYM	1	X	1	1	1	2
u	NUM	2	NOUN	1	2	1	3
iakttagande	ADJ	1	NOUN	1	1	1	2
lyckad	ADJ	2	VB;ADJ	1;2	2	3	5
plåga	VERB;NOUN	1;1	VERB	5	2	5	7
sned	ADV;ADJ	1;1	ADJ	2	2	2	4
igenkännande	NOUN	3	ADJ	1	3	1	4
väster	ADJ;NOUN	1;2	ADV	1	3	1	4
total	ADJ	4	ADV;ADJ	4;7	4	11	15
shop	NOUN	1	X	1	1	1	2
sannolik	ADJ	1	ADV	1	1	1	2
diskret	ADJ	1	ADV	1	1	1	2
drastisk	ADJ	1	ADV	1	1	1	2
duktig	ADJ	2	ADV;ADJ	1;4	2	5	7
ljudlös	ADJ	1	ADV	1	1	1	2
juni	PROPN	4	NOUN	6	4	6	10
St	PROPN	3	X	1	3	1	4
Louis	PROPN	4	X	1	4	1	5
övermänsklig	ADJ	1	ADV	2	1	2	3
elektronisk	ADJ	2	ADJ;ADV	5;1	2	6	8
bak	ADV;NOUN	2;2	NOUN	1	4	1	5
fastän	SCONJ	1	ADV;SCONJ	1;1	1	2	3
förbryllad	ADJ	1	VB	1	1	1	2
militär	ADJ	3	ADJ;NOUN	8;3	3	11	14
tänkande	ADJ	1	NOUN	1	1	1	2
of	ADP	2	X;PROPN	6;1	2	7	9
the	DET	7	X	8	7	8	15
home	NOUN	1	X	1	1	1	2
sträng	ADJ	1	ADJ;ADV	2;1	1	3	4
bitter	ADJ;ADV	1;1	ADJ	1	2	1	3
läxa	NOUN	2	VERB	1	2	1	3
november	PROPN	1	NOUN	15	1	15	16
misshandlad	ADJ	1	VB	1	1	1	2
lidande	NOUN	6	NOUN;ADJ	2;1	6	3	9
skadad	ADJ	1	ADJ;VB	6;3	1	9	10
jävla	ADJ	1	ADJ;ADV	2;1	1	3	4
överlevande	NOUN	1	ADJ	1	1	1	2
West	PROPN	1	X	1	1	1	2
utåt	ADP;ADV	1;1	ADV	1	2	1	3
evig	ADJ	2	ADV;ADJ	2;1	2	3	5
bägge	DET;PRON	1;1	PRON	3	2	3	5
tillfällig	ADJ	1	ADV;ADJ	2;6	1	8	9
tveksam	ADJ	3	ADJ;ADV	1;1	3	2	5
slinga	NOUN	1	VERB	1	1	1	2
tusan	NOUN	2	INTJ	3	2	3	5
jäkla	ADJ	2	ADV	1	2	1	3
Little	PROPN	1	X	1	1	1	2
fullkomlig	ADJ;NOUN	1;1	ADV	1	2	1	3
trött	ADV;ADJ	1;4	ADJ	13	5	13	18
kedja	NOUN	1	NOUN;VERB	1;1	1	2	3
grym	ADJ	3	ADV;ADJ	1;4	3	5	8
ånga	VERB;NOUN	1;1	NOUN	3	2	3	5
alldaglig	ADJ	1	ADV	1	1	1	2
misstro	NOUN	1	VERB;NOUN	1;2	1	3	4
boy	NOUN	1	X	1	1	1	2
fan	NOUN	1	INTJ;NOUN	10;2	1	12	13
smörja	NOUN	1	VERB;NOUN	3;1	1	4	5
gällande	ADP	3	ADJ	6	3	6	9
april	PROPN	1	NOUN	6	1	6	7
maj	PROPN	1	NOUN	17	1	17	18
offentlig	ADJ	3	ADJ;ADV	24;1	3	25	28
ensidig	ADJ	1	ADV	1	1	1	2
digital	ADJ	1	ADJ;ADV	21;2	1	23	24
la	DET	1	PROPN	1	1	1	2
ärlig	ADJ	1	ADV;ADJ	2;1	1	3	4
registrerad	VERB	1	ADJ	1	1	1	2
rejäl	ADJ	1	ADV;ADJ	4;3	1	7	8
Rio	PROPN	1	X	1	1	1	2
onödig	ADJ	1	ADJ;ADV	4;3	1	7	8
skön	ADJ	2	ADJ;ADV	12;1	2	13	15
självklar	ADJ	3	ADV;ADJ	2;2	3	4	7
upptäckt	NOUN	1	ADJ;NOUN	1;5	1	6	7
nämnvärd	ADJ	1	ADV	1	1	1	2
påtaglig	ADJ	1	ADJ;ADV	3;1	1	4	5
spruta	VERB	1	NOUN	2	1	2	3
sopa	VERB	2	NOUN	1	2	1	3
framträdande	ADJ	2	NOUN	1	2	1	3
sorlande	ADJ	1	NOUN	1	1	1	2
säregen	ADV	1	ADJ	2	1	2	3
omedelbar	ADJ	1	ADJ;ADV	6;3	1	9	10
glatt	ADV	3	ADJ	1	3	1	4
energisk	ADV	1	ADV;ADJ	1;1	1	2	3
butter	ADJ	1	X	1	1	1	2
sovande	ADJ	1	NOUN	1	1	1	2
otrolig	ADJ	1	ADV;ADJ	6;1	1	7	8
misstänkt	ADJ	1	ADJ;ADV	7;1	1	8	9
fortare	ADV	1	ADJ	1	1	1	2
fladdrande	ADJ	1	NOUN	1	1	1	2
halt	ADJ	1	NOUN	1	1	1	2
pärla	NOUN	2	VERB;NOUN	1;1	2	2	4
söt	ADJ	1	ADJ;ADV	3;1	1	4	5
Help	PROPN	1	X	1	1	1	2
fientlig	ADJ	1	ADV;ADJ	1;2	1	3	4
regelbunden	ADJ	1	ADV;ADJ	3;1	1	4	5
House	PROPN	1	X	3	1	3	4
vuxen	NOUN	2	NOUN;ADJ	1;4	2	5	7
plus	CCONJ	1	NOUN	1	1	1	2
lurad	ADJ	1	VB	2	1	2	3
